ind,name
-2,FEDFUNDS (FEDFUNDS)
-1,UNRATE (UNRATE)
0,NASDAQ 100 (^NDX)
1,Apple Inc. (AAPL)
2,Microsoft Corporation (MSFT)
3,"Amazon.com, Inc. (AMZN)"
4,NVIDIA Corporation (NVDA)
5,"Meta Platforms, Inc. (META)"
6,Broadcom Inc. (AVGO)
7,"Tesla, Inc. (TSLA)"
8,Alphabet Inc. (GOOG)
9,Alphabet Inc. (GOOGL)
10,Adobe Inc. (ADBE)
11,"PepsiCo, Inc. (PEP)"
12,Costco Wholesale Corporation (COST)
13,"Cisco Systems, Inc. (CSCO)"
14,Comcast Corporation (CMCSA)
15,"Netflix, Inc. (NFLX)"
16,"Advanced Micro Devices, Inc. (AMD)"
17,"T-Mobile US, Inc. (TMUS)"
18,Texas Instruments Incorporated (TXN)
19,Intuit Inc. (INTU)
20,Intel Corporation (INTC)
21,Amgen Inc. (AMGN)
22,"Applied Materials, Inc. (AMAT)"
23,QUALCOMM Incorporated (QCOM)
24,Honeywell International Inc. (HON)
25,Booking Holdings Inc. (BKNG)
26,Starbucks Corporation (SBUX)
27,"Intuitive Surgical, Inc. (ISRG)"
28,"Automatic Data Processing, Inc. (ADP)"
29,"Mondelez International, Inc. (MDLZ)"
30,"Gilead Sciences, Inc. (GILD)"
